16.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
9.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Viridibacillus
22.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcaceae
18.0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
1.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus
2.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces
9.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomycetaceae
246.0	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified	Bacilli_unclassified	Bacilli_unclassified
8.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
47.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerosphaera
6.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus
8.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium
2.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
7.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
1.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Melissococcus
26.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
8.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillales_unclassified	Lactobacillales_unclassified
2.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
17.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
47.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
1.0	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
9.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
5.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_uncultured
42.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
15.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_13
1.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Sarcina
149.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridiaceae_1
43.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
83.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus
7.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia
16.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Keratinibaculum
1.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus
45.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Family_XI
3.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII_AD3011_group
2.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII
1.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium
2.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Hydrogenispora
1.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
9.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
4.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
1.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus_3
