719.0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
165.0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter
90.0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacteraceae
35.0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Microscillaceae_uncultured
65.0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter
37.0	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma
226.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
15.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gillisia
9.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae
6.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group_ge
2824.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
130.0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Weeksellaceae
54.0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
1243.0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
72.0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae
49.0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge
718.0	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Chlamydiales_unclassified	Chlamydiales_unclassified
306.0	Bacteria	Chlamydiae	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia
11.0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae_unclassified	Anaerolineae_unclassified	Anaerolineae_unclassified
8.0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae
3.0	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Caldilineaceae_uncultured
27.0	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
218.0	Bacteria	Chloroflexi	KD4-96	KD4-96_or	KD4-96_fa	KD4-96_ge
4.0	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
2.0	Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified
2539.0	Bacteria	Cyanobacteria	Melainabacteria	Obscuribacterales	Obscuribacterales_fa	Obscuribacterales_ge
252.0	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocaceae	Nostocaceae
287.0	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Nostocales_unclassified	Nostocales_unclassified
1985.0	Bacteria	Cyanobacteria	Oxyphotobacteria	Oxyphotobacteria_unclassified	Oxyphotobacteria_unclassified	Oxyphotobacteria_unclassified
825.0	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
120.0	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_ge
9.0	Bacteria	Elusimicrobia	Elusimicrobia	Lineage_IV	Lineage_IV_fa	Lineage_IV_ge
247.0	Bacteria	FBP	FBP_cl	FBP_or	FBP_fa	FBP_ge
17.0	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus
14280.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
3.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Cerasibacillus
202.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus
5580.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillaceae
20238.0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	Bacillales_unclassified
61.0	Bacteria	Firmicutes	Bacilli	Bacillales	Family_XII	Exiguobacterium
160.0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
122.0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillaceae
5.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Domibacillus
252.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus
294.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus
25.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus
126.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
92.0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcaceae
221.0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
11.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus
55.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces
189.0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomycetaceae
2082.0	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified	Bacilli_unclassified	Bacilli_unclassified
177.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
251.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerosphaera
81.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alloiococcus
115.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium
98.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
320.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
2481.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
42.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillaceae
1217.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillales_unclassified	Lactobacillales_unclassified
1554.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
681.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
33955.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14.0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcaceae
4.0	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
33.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group
1033.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
396.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridiaceae_1
145.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified
2680.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus
1415.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia
37.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Keratinibaculum
301.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus
149.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Family_XI
33.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Family_XIII
3.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XVIII	Symbiobacterium
16.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Hydrogenispora
82.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
314.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
5.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
575.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae
36.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_uncultured
144.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paraclostridium
150.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
716.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae
138.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	CAG-352
1176.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
40.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005
151.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010
28.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014
30.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1
20.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum
85.0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae
85.0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
24.0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea
878.0	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
69.0	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
2609.0	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
23.0	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
279.0	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonellaceae
127.0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
48.0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonadaceae
52.0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonadaceae_uncultured
5.0	Bacteria	Gemmatimonadetes	Gemmatimonadetes_unclassified	Gemmatimonadetes_unclassified	Gemmatimonadetes_unclassified	Gemmatimonadetes_unclassified
70.0	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
356.0	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
4.0	Bacteria	Patescibacteria	Patescibacteria_unclassified	Patescibacteria_unclassified	Patescibacteria_unclassified	Patescibacteria_unclassified
7.0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonadaceae
76.0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_fa	Saccharimonadales_ge
27.0	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_unclassified	Saccharimonadales_unclassified
62.0	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group_ge
67.0	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera
5.0	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Isosphaeraceae
272.0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetales_uncultured	Planctomycetales_uncultured
1161.0	Bacteria	Planctomycetes	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified	Planctomycetes_unclassified
95.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium
34.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera
595.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella
254.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Rhodovarius
3271.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas
1947.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae
13.0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacteraceae_uncultured
2755.0	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
520.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
336.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
159.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
199.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacteraceae
142.0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacteraceae_uncultured
14.0	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsterales_uncultured	Elsterales_uncultured
2864.0	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Micropepsaceae_uncultured
185.0	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella
1782.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	28-YEA-48
1383.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea
109.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus
9099.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium
373.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
24.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	alphaI_cluster
382.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckiaceae
1223.0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
